speed,time,axis_x/Name,axis_x/Value,axis_y/Value,axis_y/Name,axis_z/Value,axis_z/Name,latitude,longitude,eco_type/Name,eco_type/Value
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
12,"May 29, 2022",Axis X,-513,-323,Axis Y,-1944,Axis Z,511055000,714309866,Green driving type,1
